x,y,brightness1,brightness2,locPrec,oligomerID
5315.3,6945.9,73535,16543,0.54171,417
5314.9,6945.3,74467,16502,0.53905,417
5315.5,6944.8,74127,16686,0.53951,417
5314.7,6946.1,74970,16791,0.53672,417
5314.8,6945.9,73671,16790,0.54056,417
5315.7,6945.8,73997,16661,0.53997,417
5315.4,6944.7,74658,17092,0.53675,417
5315.4,6944.3,74741,16407,0.53852,417
5315.8,6945.2,74293,17045,0.53796,417
5314.7,6945.4,74075,16790,0.53936,417
5315.6,6945.5,74193,16954,0.53852,417
5315.1,6944.6,74060,16541,0.54015,417
5315.2,6945.3,73630,16655,0.54109,417
8666.6,3669,491.95,48769,0.73253,1000
8669.2,3669.1,494.65,48498,0.73453,1000
8668.5,3670.1,565.63,48535,0.73372,1000
8669.4,3668.7,630.47,48299,0.73501,1000
8669.8,3668.5,508.76,47868,0.7392,1000
8668.3,3668,531.68,48326,0.73554,1000
8668.9,3669.5,552.66,48600,0.73334,1000
8668.2,3669.2,520.72,48019,0.73795,1000
8667.3,3668.4,516.26,48028,0.73792,1000
1305.7,1787.9,20210,68371,0.54627,870
1303.9,1787,20458,68978,0.54365,870
1305.2,1786.6,20031,67725,0.54883,870
1303.7,1787.8,20045,68152,0.54746,870
5745.9,7189.7,74745,11815,0.55261,619
5746.3,7191.7,75132,12043,0.55065,619
5745.1,7191.7,74623,12018,0.55235,619
5746.1,7192.1,74410,11629,0.55428,619
5744.7,7190,74718,11806,0.55272,619
5745.9,7191,75258,12056,0.55022,619
964.15,7566.2,5572.9,59299,0.63834,306
963.78,7567.8,5627.4,59707,0.63607,306
963.75,7568,5719.3,58849,0.63983,306
2403.6,8492.6,17952,33.209,1.2123,292
2402.7,8493.2,18296,47.638,1.2004,292
2402.5,8493.5,17791,45.337,1.2174,292
2402.1,8492.5,17578,21.174,1.2255,292
8708.6,8309.4,1537.1,91580,0.5328,915
8708.4,8309.5,1482.2,91277,0.53382,915
8708.2,8310.1,1441.3,92038,0.53176,915
8708,8308,1566.2,92021,0.53146,915
8707.1,8309.2,1633.8,91455,0.53288,915
8707.5,8309.5,1472.9,91312,0.53375,915
8708.2,8309.2,1509.4,91252,0.53382,915
8708.2,8309.2,1614,91209,0.53364,915
2963.2,2297.2,9136.3,778.31,1.6328,182
2963.5,2299.4,9131.2,751.11,1.6355,182
2967.6,2298.6,8842.9,743.07,1.6606,182
2962.8,2301.8,9139.3,659.3,1.6425,182
3221.4,976.34,260.92,45145,0.76299,457
3222.6,976.91,246.42,45192,0.76272,457
3220.9,976.73,259.11,45310,0.76162,457
3221.4,978.03,251.45,45047,0.7639,457
3221.2,978.85,278.32,45250,0.76197,457
8260.6,2361.9,76236,22830,0.51655,116
8260.3,2361.3,77492,23319,0.51206,116
8261.7,2362.1,76937,23232,0.5137,116
8261.2,2361.4,76600,23543,0.51377,116
8260.4,2361.7,76446,23005,0.51555,116
8260.7,2361.1,77112,23214,0.5133,116
8259.2,2360.6,77033,23118,0.51375,116
8260.8,2362.7,77356,23247,0.51259,116
7887.5,7458.2,23481,3892.1,0.98269,993
7888.5,7458,23570,3980.1,0.97952,993
7888.1,7458.1,23836,3903.7,0.97616,993
7888.4,7458.4,23803,3807.2,0.97846,993
4526.1,8544.3,50314,1335.3,0.71539,924
4524.4,8545,50104,1390.6,0.71646,924
4525.1,8546.7,50320,1351.9,0.71524,924
4525.9,8546.2,50103,1299.6,0.7171,924
4524.4,8544.7,50272,1319.3,0.71579,924
2960.7,2302.1,41361,26445,0.62437,182
2960.8,2301.2,41863,27078,0.61921,182
3691.2,8316,82339,6114.4,0.54666,366
3690.6,8316.5,82755,6083.7,0.54548,366
3691.4,8315.1,82306,6234.6,0.54639,366
3691.4,8315.9,82264,6167.7,0.54673,366
3690.6,8315.4,82729,6276.4,0.54496,366
3691.2,8315.2,82630,6009.2,0.54609,366
